index, name, driver_version, memory.total [MiB], memory.used [MiB]
0, Quadro P600, 535.309.01, 2048 MiB, 1378 MiB
1, Tesla V100-PCIE-16GB, 535.309.01, 16384 MiB, 5 MiB
