time_ms,neuron_id
11,0
25,0
40,0
56,0
72,0
88,0
105,0
123,0
141,0
160,0
180,0
200,0
220,0
241,0
263,0
285,0
308,0
331,0
354,0
378,0
402,0
426,0
451,0
476,0
501,0
527,0
552,0
578,0
604,0
630,0
1557,0
1589,0
1604,0
1620,0
1637,0
1654,0
1672,0
1690,0
1709,0
1728,0
1748,0
1768,0
1789,0
1811,0
1833,0
1855,0
1878,0
1902,0
1925,0
1949,0
1974,0
1999,0
2023,0
2049,0
2074,0
2100,0
2125,0
2151,0
2177,0
2203,0
2230,0
2256,0
2282,0
2309,0
2335,0
2362,0
2388,0
2415,0
2441,0
2468,0
2495,0
3433,0
3465,0
3481,0
3497,0
3513,0
3530,0
3548,0
3566,0
3585,0
3604,0
3624,0
3645,0
3666,0
3687,0
3709,0
3732,0
3754,0
3778,0
3802,0
3826,0
3850,0
3875,0
3900,0
3925,0
3950,0
3976,0
4002,0
4027,0
4053,0
4080,0
4106,0
4132,0
4158,0
4185,0
4211,0
4238,0
4264,0
4291,0
4318,0
4344,0
4371,0
5309,0
5342,0
5357,0
5373,0
5390,0
5407,0
5424,0
5442,0
5461,0
5481,0
5501,0
5521,0
5542,0
5564,0
5586,0
5608,0
5631,0
5654,0
5678,0
5702,0
5727,0
5751,0
5776,0
5801,0
5827,0
5852,0
5878,0
5904,0
5930,0
5956,0
5982,0
6009,0
6035,0
6061,0
6088,0
6114,0
6141,0
6168,0
6194,0
6221,0
6248,0
7186,0
7218,0
7233,0
7249,0
7266,0
7283,0
7301,0
7319,0
7338,0
7357,0
7377,0
7397,0
7418,0
7440,0
7462,0
7484,0
7507,0
7531,0
7554,0
7578,0
7603,0
7627,0
7652,0
7678,0
7703,0
7729,0
7754,0
7780,0
7806,0
7832,0
7858,0
7885,0
7911,0
7938,0
7964,0
7991,0
8017,0
8044,0
8070,0
8097,0
8124,0
9062,0
9094,0
9110,0
9126,0
9142,0
9159,0
9177,0
9195,0
9214,0
9233,0
9253,0
9274,0
9295,0
9316,0
9338,0
9361,0
9384,0
9407,0
9431,0
9455,0
9479,0
9504,0
9529,0
9554,0
9579,0
9605,0
9631,0
9656,0
9682,0
9709,0
9735,0
9761,0
9787,0
9814,0
9840,0
9867,0
9893,0
9920,0
9947,0
9973,0
10000,0
630,100
662,100
677,100
692,100
708,100
724,100
742,100
759,100
778,100
796,100
816,100
836,100
856,100
877,100
899,100
921,100
944,100
967,100
990,100
1014,100
1038,100
1062,100
1087,100
1112,100
1137,100
1162,100
1188,100
1214,100
1240,100
1266,100
1292,100
1318,100
1344,100
1371,100
1397,100
1424,100
1450,100
1477,100
1503,100
1530,100
1557,100
2495,100
2527,100
2543,100
2559,100
2575,100
2592,100
2610,100
2628,100
2647,100
2666,100
2686,100
2706,100
2727,100
2749,100
2771,100
2793,100
2816,100
2840,100
2863,100
2887,100
2912,100
2937,100
2961,100
2987,100
3012,100
3038,100
3063,100
3089,100
3115,100
3141,100
3168,100
3194,100
3220,100
3247,100
3273,100
3300,100
3326,100
3353,100
3380,100
3406,100
3433,100
4371,100
4404,100
4419,100
4435,100
4451,100
4468,100
4486,100
4504,100
4523,100
4542,100
4562,100
4583,100
4604,100
4625,100
4647,100
4670,100
4693,100
4716,100
4740,100
4764,100
4788,100
4813,100
4838,100
4863,100
4888,100
4914,100
4940,100
4966,100
4992,100
5018,100
5044,100
5070,100
5097,100
5123,100
5150,100
5176,100
5203,100
5229,100
5256,100
5283,100
5309,100
6248,100
6280,100
6295,100
6311,100
6328,100
6345,100
6362,100
6381,100
6399,100
6419,100
6439,100
6459,100
6480,100
6502,100
6524,100
6546,100
6569,100
6592,100
6616,100
6640,100
6665,100
6689,100
6714,100
6739,100
6765,100
6790,100
6816,100
6842,100
6868,100
6894,100
6920,100
6947,100
6973,100
6999,100
7026,100
7052,100
7079,100
7106,100
7132,100
7159,100
7186,100
8124,100
8156,100
8172,100
8188,100
8204,100
8221,100
8239,100
8257,100
8276,100
8295,100
8315,100
8335,100
8356,100
8378,100
8400,100
8422,100
8445,100
8469,100
8492,100
8516,100
8541,100
8566,100
8590,100
8616,100
8641,100
8667,100
8692,100
8718,100
8744,100
8770,100
8797,100
8823,100
8849,100
8876,100
8902,100
8929,100
8955,100
8982,100
9009,100
9035,100
9062,100
10000,100
10033,100
10048,100
11,1
25,1
40,1
56,1
72,1
88,1
105,1
123,1
141,1
160,1
180,1
200,1
220,1
241,1
263,1
285,1
307,1
330,1
354,1
378,1
402,1
426,1
451,1
476,1
501,1
526,1
552,1
578,1
604,1
630,1
1556,1
1589,1
1604,1
1620,1
1637,1
1654,1
1671,1
1690,1
1708,1
1728,1
1748,1
1768,1
1789,1
1811,1
1833,1
1855,1
1878,1
1901,1
1925,1
1949,1
1974,1
1998,1
2023,1
2049,1
2074,1
2100,1
2125,1
2151,1
2177,1
2203,1
2229,1
2256,1
2282,1
2309,1
2335,1
2362,1
2388,1
2415,1
2442,1
2468,1
